0	0	8883326	A	0.988526	0.939635	0.928853
0	1	979289	A	0.965834	0.981959	0.948410
0	2	117358	A	0.905077	0.970165	0.878074
0	3	16034	A	0.749096	0.944634	0.707621
0	4	2870	A	0.468990	0.869242	0.407666
0	5	728	A	0.314560	0.755459	0.237637
0	6	227	A	0.370044	0.642857	0.237885
0	7	91	A	0.208791	0.894737	0.186813
0	8	37	A	0.189189	0.857143	0.162162
0	9	10	A	0.100000	0.000000	0.000000
0	10	14	A	0.214286	1.000000	0.214286
0	11	1	A	0.000000	-1.000000	0.000000
0	12	2	A	0.000000	-1.000000	0.000000
0	13	2	A	0.000000	-1.000000	0.000000
0	14	7	A	0.571429	1.000000	0.571429
0	15	4	A	0.000000	-1.000000	0.000000
4	0	8883326	A	0.989126	0.939556	0.929340
4	1	979289	A	0.982247	0.989923	0.972349
4	2	117358	A	0.962823	0.986424	0.949752
4	3	16034	A	0.918299	0.976841	0.897031
4	4	2870	A	0.828920	0.963010	0.798258
4	5	728	A	0.706044	0.928016	0.655220
4	6	227	A	0.638767	0.813793	0.519824
4	7	91	A	0.384615	1.000000	0.384615
4	8	37	A	0.297297	0.909091	0.270270
4	9	10	A	0.000000	-1.000000	0.000000
4	10	14	A	0.285714	1.000000	0.285714
4	11	1	A	0.000000	-1.000000	0.000000
4	12	2	A	0.000000	-1.000000	0.000000
4	13	2	A	0.000000	-1.000000	0.000000
4	14	7	A	0.428571	1.000000	0.428571
4	15	4	A	0.000000	-1.000000	0.000000
2	0	8883326	A	0.988978	0.939603	0.929247
2	1	979289	A	0.976586	0.987183	0.964069
2	2	117358	A	0.941938	0.980487	0.923559
2	3	16034	A	0.861232	0.964950	0.831047
2	4	2870	A	0.693380	0.929146	0.644251
2	5	728	A	0.523352	0.868766	0.454670
2	6	227	A	0.506608	0.739130	0.374449
2	7	91	A	0.296703	0.962963	0.285714
2	8	37	A	0.189189	0.857143	0.162162
2	9	10	A	0.100000	0.000000	0.000000
2	10	14	A	0.285714	1.000000	0.285714
2	11	1	A	0.000000	-1.000000	0.000000
2	12	2	A	0.000000	-1.000000	0.000000
2	13	2	A	0.000000	-1.000000	0.000000
2	14	7	A	0.428571	1.000000	0.428571
2	15	4	A	0.000000	-1.000000	0.000000
6	0	8883326	A	0.989143	0.939533	0.929332
6	1	979289	A	0.985428	0.991272	0.976827
6	2	117358	A	0.974326	0.990083	0.964664
6	3	16034	A	0.948609	0.983366	0.932830
6	4	2870	A	0.901394	0.978353	0.881882
6	5	728	A	0.811813	0.961083	0.780220
6	6	227	A	0.806167	0.907104	0.731278
6	7	91	A	0.571429	0.961538	0.549451
6	8	37	A	0.405405	0.666667	0.270270
6	9	10	A	0.700000	1.000000	0.700000
6	10	14	A	0.285714	1.000000	0.285714
6	11	1	A	0.000000	-1.000000	0.000000
6	12	2	A	0.000000	-1.000000	0.000000
6	13	2	A	0.000000	-1.000000	0.000000
6	14	7	A	0.428571	1.000000	0.428571
6	15	4	A	0.000000	-1.000000	0.000000
15	0	8883326	A	0.988855	0.939396	0.928926
15	1	979289	A	0.988019	0.992544	0.980652
15	2	117358	A	0.983844	0.992240	0.976210
15	3	16034	A	0.975053	0.988487	0.963827
15	4	2870	A	0.957143	0.983618	0.941463
15	5	728	A	0.925824	0.976261	0.903846
15	6	227	A	0.920705	0.937799	0.863436
15	7	91	A	0.835165	1.000000	0.835165
15	8	37	A	0.540541	0.950000	0.513514
15	9	10	A	1.000000	1.000000	1.000000
15	10	14	A	1.000000	1.000000	1.000000
15	11	1	A	1.000000	1.000000	1.000000
15	12	2	A	0.000000	-1.000000	0.000000
15	13	2	A	1.000000	1.000000	1.000000
15	14	7	A	0.571429	1.000000	0.571429
15	15	4	A	0.750000	1.000000	0.750000
8	0	8883326	A	0.989105	0.939505	0.929270
8	1	979289	A	0.986946	0.992041	0.979091
8	2	117358	A	0.980368	0.991413	0.971949
8	3	16034	A	0.964014	0.985961	0.950480
8	4	2870	A	0.934146	0.982469	0.917770
8	5	728	A	0.880495	0.970359	0.854396
8	6	227	A	0.872247	0.934343	0.814978
8	7	91	A	0.703297	0.984375	0.692308
8	8	37	A	0.378378	0.928571	0.351351
8	9	10	A	0.800000	1.000000	0.800000
8	10	14	A	0.500000	1.000000	0.500000
8	11	1	A	1.000000	1.000000	1.000000
8	12	2	A	0.000000	-1.000000	0.000000
8	13	2	A	0.500000	1.000000	0.500000
8	14	7	A	0.428571	1.000000	0.428571
8	15	4	A	0.000000	-1.000000	0.000000
10	0	8883326	A	0.989039	0.939465	0.929167
10	1	979289	A	0.987690	0.992421	0.980204
10	2	117358	A	0.982438	0.992185	0.974761
10	3	16034	A	0.971124	0.987734	0.959212
10	4	2870	A	0.947038	0.985283	0.933101
10	5	728	A	0.913462	0.980451	0.895604
10	6	227	A	0.898678	0.955882	0.859031
10	7	91	A	0.769231	1.000000	0.769231
10	8	37	A	0.540541	0.950000	0.513514
10	9	10	A	0.900000	1.000000	0.900000
10	10	14	A	0.928571	1.000000	0.928571
10	11	1	A	1.000000	1.000000	1.000000
10	12	2	A	0.000000	-1.000000	0.000000
10	13	2	A	0.500000	1.000000	0.500000
10	14	7	A	0.428571	1.000000	0.428571
10	15	4	A	0.000000	-1.000000	0.000000
20	0	8883326	A	0.988697	0.939297	0.928680
20	1	979289	A	0.988014	0.992489	0.980593
20	2	117358	A	0.984023	0.992094	0.976244
20	3	16034	A	0.974554	0.988545	0.963390
20	4	2870	A	0.956446	0.985064	0.942160
